Generation,MaxFitness
1,2.3300009999999625
2,3.4420009999999497
3,3.0760009999999616
4,3.4640009999999433
5,3.568000999999953
6,4.772000999999934
7,2.994000999999951
8,3.438000999999943
9,3.230000999999973
10,2.9880009999999633
11,4.448000999999955
12,2.8040009999999724
13,3.4460009999999683
14,2.954000999999949
15,4.1880009999999475
16,2.5840009999999585
17,2.6540009999999667
18,3.7340009999999366
19,2.8480009999999734
20,4.064000999999927
21,3.7580009999999433
22,3.5120009999999686
23,3.4880009999999406
24,3.894000999999951
25,2.9020009999999465
26,3.7500009999999353
27,3.294000999999952
28,3.764000999999933
29,4.33000099999995
30,3.8040009999999618
31,3.8380009999999314
32,3.968000999999955
33,3.2220009999999553
34,3.2120009999999635
35,3.4900009999999497
36,4.640000999999916
37,3.8640009999999894
38,3.3280009999999427
39,3.608000999999956
40,3.2840009999999413
41,3.1860009999999566
42,3.710000999999955
43,3.046000999999966
44,3.5540009999999667
45,3.210000999999943
46,3.8620009999999763
47,3.4520009999999353
48,3.4180009999999377
49,4.612000999999924
50,3.530000999999968
51,3.5480009999999345
52,3.544001000000002
53,3.1760009999999466
54,3.458000999999968
55,3.930000999999942
56,3.7480009999999537
57,3.3760009999999396
58,3.5720009999999354
59,3.4340009999999417
60,3.564000999999948
61,3.784000999999942
62,3.1960009999999386
63,3.7080009999999426
64,3.5280009999999384
65,3.5320009999999327
66,3.4280009999999357
67,3.44200099999994
68,3.7820009999999455
69,3.338000999999962
70,3.4180009999999594
